source,target,weight
28733,2871,1
28733,6945,1
28733,6984,1
28733,15585,1
28733,19785,1
28733,20586,1
28733,23806,1
28733,24519,1
28733,28804,1
28733,28811,1
28733,29861,1
28733,33873,1
28733,44854,1
28733,46776,1
28733,73871,1
28733,77348,1
28733,83778,1
28733,112145,1
28733,115768,1
28733,124063,1
28733,124138,1
28733,134348,1
28733,134802,1
28733,136526,1
28733,149981,1
28733,158678,1
28733,178178,1
28733,196392,1
28733,197925,1
28733,208859,1
28733,229700,1
28733,240409,1
28733,250364,1
28733,251404,1
28733,251515,1
28733,284219,1
28733,319839,1
28733,366197,1
28733,387198,1
28733,414128,1
28733,416355,1
28733,443305,1
28733,451067,1
28733,454470,1
28733,463039,1
28733,488739,1
28733,501918,1
28733,520240,1
28733,537690,1
28733,631395,1
28733,652184,1
28733,656496,1
28733,658019,1
28733,661533,1
28733,669808,1
28733,677680,1
28733,687790,1
28733,710987,1
28733,718989,1
28733,720270,1
28733,737336,1
28733,738472,1
28733,788347,1
28733,796543,1
28733,813169,1
28733,845627,1
28733,849126,1
28733,859531,1
28733,865881,1
28733,887860,1
28733,918605,1
28733,926715,1
28733,956319,1
28733,956609,1
28733,969537,1
28733,989308,1
28733,995866,1
28733,1002226,1
28733,1013652,1
28733,1020069,1
28733,1049553,1
28733,1066061,1
28733,1074306,1
28733,1075942,1
28733,1109810,1
28733,1110892,1
28733,1112041,1
28733,1112893,1
28733,1123191,1
28733,1154294,1
28733,1163024,1
28733,1185036,1
28733,1202207,1
28733,1228486,1
28733,1322698,1
28733,1332369,1
28733,1341717,1
28733,1351772,1
28733,1448411,1
28733,1480129,1
28733,1486267,1
28733,1502602,1
28733,1503053,1
28733,1520509,1
28733,1563325,1
28733,1577861,1
28733,1592415,1
28733,1592604,1
28733,1597954,1
28733,1634309,1
28733,1643043,1
28733,1673432,1
28733,1682743,1
28733,1683570,1
28733,1688625,1
28733,1688953,1
28733,1691793,1
28733,1708894,1
28733,1751387,1
28733,1767310,1
28733,1768739,1
28733,1798491,1
28733,1803964,1
28733,1837957,1
28733,1852788,1
28733,1874091,1
28733,1889251,1
28733,1912471,1
28733,1918110,1
28733,1923161,1
28733,2000158,1
28733,2022847,1
28733,2033034,1
28733,2054484,1
28733,2073314,1
28733,2109077,1
28733,2124571,1
28733,2148547,1
28733,2202818,1
28733,2212439,1
28733,2233928,1
28733,2238900,1
28733,2240596,1
28733,2246693,1
28733,2266799,1
28733,2306121,1
28733,2314438,1
28733,2315045,1
28733,2359190,1
28733,2361804,1
28733,2473662,1
28733,2475624,1
28733,2492692,1
28733,2522598,1
28733,2534264,1
28733,2552019,1
28733,2579406,1
28733,2596246,1
28733,2601213,1
28733,2636333,1
28733,2675087,1
28733,2747082,1
28733,2795596,1
28733,2830287,1
28733,2861731,1
28733,2872804,1
28733,2902401,1
28733,2925941,1
28733,2947947,1
28733,3069678,1
28733,3076590,1
28733,3152578,1
28733,3171839,1
28733,3206109,1
28733,3235804,1
28733,3258051,1
28733,3283338,1
28733,3358755,1
28733,3368402,1
28733,3398775,1
28733,3402151,1
28733,3416388,1
28733,3428832,1
28733,3442253,1
28733,3462755,1
28733,3511754,1
28733,3549425,1
28733,3606109,1
28733,3714790,1
28733,3786174,1
28733,3800715,1
28733,3809847,1
28733,3926240,1
28733,3936521,1
28733,3973279,1
28733,4020999,1
28733,4035013,1
28733,4130935,1
28733,4147755,1
28733,4182198,1
28733,4278083,1
28733,4486683,1
28733,4516863,1
28733,4536950,1
28733,4726692,1
28733,4768949,1
28733,4808523,1
28733,4868935,1
28733,4871950,1
28733,4872135,1
28733,4907828,1
28733,5020377,1
28733,5290957,1
28733,5499978,1
28733,5564297,1
28733,5921405,1
28733,5938417,1
28733,6215568,1
28733,6277480,1
28733,6465254,1
28733,6757717,1
28733,6853453,1
28733,7145196,1
28733,7536123,1
28733,7600221,1
28733,8130213,1
28733,8304615,1
28733,8613539,1
28733,8921368,1
28733,9585937,1
28733,9639694,1
28733,9701676,1
28733,10292574,1
28733,10931143,1
28733,11223213,1
28733,11255895,1
28733,11315100,1
28733,11412852,1
28733,11766815,1
28733,12024877,1
28733,12152608,1
28733,12483086,1
28733,12843929,1
28733,13342372,1
28733,13696673,1
28733,13698471,1
28733,13713481,1
28733,14445609,1
28733,15654611,1
28733,15838683,1
181273806,28733,5
1252256,1389,1
1252256,5501,1
1252256,8894,1
1252256,12757,1
1252256,18447,1
1252256,22965,1
1252256,25929,1
1252256,29831,1
1252256,29922,1
1252256,37086,1
1252256,38850,1
1252256,48356,1
1252256,48774,1
1252256,49033,1
1252256,49502,1
1252256,59282,1
1252256,69482,1
1252256,73152,1
1252256,77834,1
1252256,86363,1
1252256,115020,1
1252256,118504,1
1252256,119920,1
1252256,134532,1
1252256,137799,1
1252256,154190,1
1252256,158241,1
1252256,170164,1
1252256,172561,1
1252256,175328,1
1252256,177893,1
1252256,179939,1
1252256,187729,1
1252256,190400,1
1252256,190671,1
1252256,195076,1
1252256,200216,1
1252256,201204,1
1252256,202234,1
1252256,223274,1
1252256,223323,1
1252256,233674,1
1252256,238049,1
1252256,238251,1
1252256,248984,1
1252256,253971,1
1252256,259671,1
1252256,265561,1
1252256,266084,1
1252256,274066,1
1252256,274073,1
1252256,281987,1
1252256,286165,1
1252256,304040,1
1252256,307032,1
1252256,312024,1
1252256,314572,1
1252256,330535,1
1252256,332706,1
1252256,333026,1
1252256,339991,1
1252256,346973,1
1252256,349100,1
1252256,349421,1
1252256,350962,1
1252256,356485,1
1252256,356817,1
1252256,357031,1
1252256,357563,1
1252256,363114,1
1252256,363219,1
1252256,364177,1
1252256,368398,1
1252256,374232,1
1252256,375078,1
1252256,382016,1
1252256,393471,1
1252256,399052,1
1252256,411022,1
1252256,423432,1
1252256,430735,1
1252256,433787,1
1252256,436081,1
1252256,443095,1
1252256,447320,1
1252256,449058,1
1252256,455000,1
1252256,467677,1
1252256,480389,1
1252256,486686,1
1252256,488056,1
1252256,494915,1
1252256,499943,1
1252256,507170,1
1252256,514658,1
1252256,516643,1
1252256,518007,1
1252256,528712,1
1252256,530062,1
1252256,549944,1
1252256,553258,1
1252256,555118,1
1252256,560583,1
1252256,564354,1
1252256,567917,1
1252256,575118,1
1252256,577532,1
1252256,580849,1
1252256,598155,1
1252256,604483,1
1252256,605759,1
1252256,618330,1
1252256,634562,1
1252256,636534,1
1252256,638043,1
1252256,642337,1
1252256,646743,1
1252256,647365,1
1252256,653781,1
1252256,664543,1
1252256,664576,1
1252256,669776,1
1252256,671904,1
1252256,673556,1
1252256,681215,1
1252256,689628,1
1252256,697695,1
1252256,703506,1
1252256,705984,1
1252256,710885,1
1252256,713899,1
1252256,720772,1
1252256,721344,1
1252256,725906,1
1252256,736205,1
1252256,746697,1
1252256,752119,1
1252256,758822,1
1252256,760116,1
1252256,774913,1
1252256,786847,1
1252256,787176,1
1252256,804375,1
1252256,805890,1
1252256,806911,1
1252256,809966,1
1252256,812381,1
1252256,814366,1
1252256,816384,1
1252256,817304,1
1252256,820223,1
1252256,821949,1
1252256,827121,1
1252256,832579,1
1252256,833571,1
1252256,838587,1
1252256,863397,1
1252256,874759,1
1252256,883768,1
1252256,902140,1
1252256,922407,1
1252256,925783,1
1252256,937157,1
1252256,938520,1
1252256,941581,1
1252256,942220,1
1252256,959121,1
1252256,971995,1
1252256,974381,1
1252256,974821,1
1252256,977432,1
1252256,978049,1
1252256,980886,1
1252256,981578,1
1252256,986877,1
1252256,1000646,1
1252256,1001618,1
1252256,1006767,1
1252256,1007628,1
1252256,1009384,1
1252256,1018506,1
1252256,1025768,1
1252256,1027731,1
1252256,1032311,1
1252256,1032581,1
1252256,1033750,1
1252256,1039779,1
1252256,1040852,1
1252256,1042001,1
1252256,1048357,1
1252256,1057510,1
